state,year,avg_temp,rainfall,humidity,pm25_mean
Australia's Offshore Islands,2024,23.0924774056353,10865.1,74.63302448709464,
Australian Capital Territory,2024,17.232636363636367,2282.6,53.29727272727273,6.6
New South Wales,2024,22.45170925987388,18042.5,51.5600352112676,6.32051282051282
Northern Territory,2024,32.299610067352,10282.6,43.31312056737589,11.7
Queensland,2024,25.465479609419873,5806.2,58.50403225806452,6.3
South Australia,2024,21.522068230277185,4038.5,49.36873533802517,4.720000000000001
Tasmania,2024,15.788447296963712,9537.6,62.97445436507937,5.233333333333333
Victoria,2024,19.151370320855616,4468.9,52.81498829039813,6.0275
Western Australia,2024,26.373328935795953,9008.5,48.96305182341651,7.191666666666666
